name,age,income,profession,date,location,new_cases,total_cases,new_death,total_death,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccines,new_test,total_test,test_per_case,positive_rate,negative_rate,hospitalised_patients,icu_patients,population,median_age,age > 65,people_with_past_diseases,immunity_strength
Chris Taylor,48,69809,Scientist,2020-05-24,India,489,73012,12,1445,239333,67244,67786,586904,34427,7488754,47.23,0.016,0.8861,3639,862,822672834,48.6,16.59,19.98,74.89
Emily Miller,58,23627,Software Developer,2020-05-25,India,516,73499,8,1458,58566,396321,267902,779103,85042,7557762,38.89,0.0805,0.847,4825,599,1231705365,48.7,7.9,5.76,33.26
Jane Johnson,75,53621,Teacher,2020-05-26,Canada,483,74013,9,1467,315866,195091,109119,176359,29395,7619071,42.11,0.0428,0.8492,657,979,189321518,26.8,5.63,18.78,85.31
Alex Miller,22,98729,Business Analyst,2020-05-27,Canada,513,74484,7,1472,358767,224184,83673,709331,93662,7663308,18.98,0.0579,0.9664,4476,702,992961234,40.4,7.33,5.97,45.72
Chris Taylor,50,56084,Scientist,2020-05-28,Russia,502,74978,11,1480,383218,350741,153904,76152,96002,7700040,38.28,0.1767,0.8979,3977,720,1007618292,26.1,20.5,8.86,48.61
Michael Garcia,60,16151,Farmer,2020-05-29,Canada,468,75471,17,1486,84974,181173,260111,62351,18970,7709144,24.78,0.0928,0.9386,2202,486,258716788,41.2,20.11,17.68,36.55
Michael Williams,36,76691,Teacher,2020-05-30,Brazil,531,75980,11,1491,486908,180778,115869,525931,71218,7793374,10.85,0.062,0.8068,596,968,194750255,27.9,17.09,15.94,67.41
Anna Jones,49,27741,Software Developer,2020-05-31,France,535,76492,14,1505,356228,213156,245944,735400,77475,7884640,7.1,0.122,0.8694,4938,881,1230818555,48.7,9.19,17.29,64.88
John Miller,20,89484,Sales Executive,2020-06-01,Germany,511,76997,8,1513,180951,20115,282872,247977,75362,7920620,17.91,0.037,0.891,1954,711,695527770,46.6,19.78,16.2,54.3
Laura Johnson,18,39130,Farmer,2020-06-02,Italy,528,77526,13,1519,427983,80379,260554,763919,24371,7996610,7.74,0.0593,0.8354,1732,849,427048262,25.6,13.16,5.47,41.81
Michael Taylor,58,71172,Farmer,2020-06-03,Canada,501,78018,8,1533,258595,238553,126019,404521,96482,8037170,49.92,0.1138,0.8228,538,112,778656880,44.6,15.22,11.62,88.66
Chris Garcia,65,61916,Teacher,2020-06-04,UK,482,78527,14,1545,389497,44979,103548,80616,90895,8047724,3.41,0.0551,0.9654,1872,342,583616927,40.9,22.95,8.32,91.35
Emily Johnson,56,60219,Engineer,2020-06-05,India,475,79023,15,1558,114417,176713,245525,786781,20266,8139773,22.62,0.139,0.9785,3171,887,309031175,37.4,14.16,9.73,67.84
Alex Garcia,22,98185,Scientist,2020-06-06,Brazil,482,79551,4,1573,340243,74377,150477,174969,20195,8186760,23.15,0.1034,0.815,3824,796,916914811,40.1,17.53,3.93,47.1
Laura Smith,28,38236,Police Officer,2020-06-07,Australia,467,80096,12,1582,189729,257858,3821,305154,28315,8218745,15.73,0.1567,0.8663,3122,468,1160810040,42.0,24.24,7.0,36.73
Chris Davis,39,68882,Sales Executive,2020-06-08,Italy,478,80587,5,1585,149570,11416,174602,514651,84804,8310043,29.0,0.1902,0.9821,3502,139,581039923,47.1,14.03,17.3,90.8
Anna Brown,81,14984,Nurse,2020-06-09,Germany,559,81055,8,1594,214739,395929,105273,666110,76246,8359210,8.35,0.032,0.8158,699,762,1317607659,44.2,16.21,18.05,36.72
Alex Taylor,29,2042,Teacher,2020-06-10,Italy,530,81563,12,1602,297251,136666,257196,171186,42581,8400638,39.41,0.0736,0.9223,697,143,1019741966,39.4,16.69,12.59,30.92
John Miller,70,14063,Farmer,2020-06-11,Canada,523,82021,7,1608,169865,181128,224626,266309,46537,8468876,17.29,0.0707,0.9847,430,166,1248918557,45.6,9.81,10.47,62.86
Laura Garcia,72,54918,Software Developer,2020-06-12,Russia,536,82538,7,1621,405912,397508,211704,303269,80697,8532599,29.98,0.0387,0.9859,2116,434,997946965,49.7,19.74,14.54,81.19
Michael Garcia,70,21490,Doctor,2020-06-13,India,504,83032,5,1626,325983,364651,237579,507310,98357,8550637,36.07,0.164,0.8895,1913,444,1010009198,32.5,19.53,12.57,62.03
David Williams,38,41967,Software Developer,2020-06-14,India,483,83529,9,1638,99241,123243,17148,463612,76265,8573856,44.56,0.1544,0.8309,2340,398,1039825820,28.0,9.27,19.69,33.6
Anna Clark,36,57472,Teacher,2020-06-15,Australia,462,83984,6,1647,33397,108070,87545,195918,93449,8579127,41.95,0.102,0.8384,4274,946,1300341569,43.3,5.27,4.61,78.3
Emily Williams,86,73838,Doctor,2020-06-16,Russia,504,84481,11,1666,17704,41126,55459,433612,23184,8607524,30.81,0.1122,0.969,1249,327,727137486,49.5,24.98,9.53,74.96
Jane Miller,89,22876,Teacher,2020-06-17,France,492,84993,13,1675,288586,85382,215417,374805,24279,8683015,20.03,0.0213,0.9732,4554,679,968595034,27.9,16.63,18.45,77.71
Jane Miller,83,82830,Software Developer,2020-06-18,USA,523,85502,8,1686,204860,227785,92954,536941,27570,8713617,25.66,0.1155,0.9155,4937,514,650115604,35.8,8.62,18.38,44.78
Laura Garcia,76,61650,Software Developer,2020-06-19,Brazil,485,86033,4,1692,139576,23228,286262,632404,44030,8769088,38.67,0.1604,0.9456,3040,880,358645708,26.6,10.67,10.41,85.7
John Davis,66,3302,Farmer,2020-06-20,India,496,86558,13,1709,19765,29009,132515,139233,63245,8832238,44.0,0.119,0.9406,1157,199,577757904,44.4,17.36,3.56,63.54
Jane Davis,76,20017,Scientist,2020-06-21,UK,493,87019,6,1715,387972,267238,90379,436790,56467,8877465,6.09,0.0604,0.9257,3497,621,347032714,48.7,7.75,16.48,67.54
David Miller,40,43311,Doctor,2020-06-22,India,517,87484,8,1726,20002,85636,284197,33869,36133,8975546,19.86,0.1368,0.9572,271,420,1125342904,37.5,5.75,12.12,68.21
John Davis,20,1361,Police Officer,2020-06-23,Italy,476,87997,11,1740,269853,188293,169276,479410,79731,8999662,39.03,0.0787,0.9302,1489,955,830457869,35.2,20.97,15.69,50.08
John Smith,73,39261,Software Developer,2020-06-24,India,549,88478,8,1749,283534,103453,174312,606455,44805,9007336,22.15,0.1135,0.9015,667,987,1128083684,47.7,19.32,9.79,47.51
Sarah Jones,75,18171,Teacher,2020-06-25,India,519,88985,12,1760,185508,59486,233415,731507,44998,9025805,17.28,0.1026,0.845,2620,61,949685575,28.3,11.19,4.87,30.33
Chris Taylor,79,42226,Nurse,2020-06-26,USA,498,89498,15,1768,268446,357654,140363,263758,18238,9032251,21.15,0.0824,0.9413,2805,570,1207087073,47.3,6.17,1.46,57.76
Alex Davis,35,30327,Teacher,2020-06-27,USA,460,89998,11,1780,487698,198366,240654,687482,82088,9054011,30.54,0.1466,0.89,2840,455,1115034502,34.8,14.73,11.62,63.96
Alex Johnson,78,71628,Scientist,2020-06-28,Germany,496,90510,11,1798,255620,265243,279429,194899,69264,9056974,49.99,0.1779,0.856,3992,621,535267270,39.0,10.52,4.06,82.0
Michael Williams,54,83473,Nurse,2020-06-29,France,506,91031,9,1811,16641,25860,14944,688695,49245,9133976,25.16,0.011,0.9524,3359,453,1012281192,38.2,12.96,4.56,34.66
Anna Williams,71,65223,Teacher,2020-06-30,UK,457,91501,6,1815,436925,339956,102041,271536,24557,9162238,11.22,0.1874,0.9324,4104,391,221780515,40.4,10.48,9.29,94.68
Jane Davis,82,80353,Engineer,2020-07-01,India,492,91981,7,1823,121119,333231,55391,565965,71474,9168415,8.98,0.1072,0.9781,274,772,1345278278,48.6,8.51,9.4,48.48
Jane Taylor,31,76315,Teacher,2020-07-02,India,483,92488,12,1840,442525,249856,2607,441439,97738,9180575,3.08,0.1431,0.8314,2291,383,690715345,48.8,12.74,6.21,55.67
Chris Johnson,22,71052,Police Officer,2020-07-03,Brazil,474,93034,9,1846,287768,219135,261314,443030,66667,9189118,28.38,0.1726,0.9233,4202,985,701631016,45.8,24.3,3.51,33.39
Laura Johnson,79,64624,Business Analyst,2020-07-04,USA,547,93505,7,1854,19966,54607,3953,145662,92228,9272280,27.68,0.0987,0.8464,3746,575,410978189,29.8,10.32,18.95,75.72
Anna Garcia,18,96650,Farmer,2020-07-05,UK,527,94001,12,1866,230422,373808,45941,496827,86513,9312558,11.06,0.1686,0.9717,3400,384,61946855,33.3,11.72,3.5,79.62
Jane Miller,80,15530,Software Developer,2020-07-06,Australia,524,94512,14,1873,175261,214605,203541,456401,66074,9343165,35.07,0.0437,0.8189,3877,398,1396580212,37.2,11.58,7.66,95.02
Anna Smith,84,10310,Scientist,2020-07-07,Germany,525,94999,6,1881,81301,23330,202290,621082,59204,9430000,37.31,0.0402,0.9247,1453,658,195755220,47.6,14.61,6.79,53.58
John Brown,37,35281,Doctor,2020-07-08,France,481,95519,9,1887,498974,387947,274298,95675,99597,9448221,13.7,0.1349,0.9503,4262,683,984048048,38.0,21.87,17.46,48.02
Emily Davis,60,60270,Teacher,2020-07-09,Russia,536,95994,11,1900,125123,176150,141119,60503,93800,9452544,17.86,0.1753,0.8674,459,875,945794362,49.4,13.04,8.79,80.83
Anna Clark,59,90345,Engineer,2020-07-10,France,496,96454,12,1908,420439,191404,89529,600484,26575,9505649,49.53,0.1796,0.9813,1966,813,1218289517,49.6,21.12,3.36,79.48
Sarah Clark,86,47104,Engineer,2020-07-11,Italy,488,96956,10,1920,350327,257134,207946,725479,81263,9582800,19.34,0.1323,0.9616,3488,488,346956698,40.0,7.3,1.19,95.6
Chris Miller,56,22735,Doctor,2020-07-12,India,517,97431,12,1931,244624,226437,15323,627612,77024,9650768,38.28,0.1098,0.856,4117,413,114184900,46.9,22.9,14.72,44.37
Michael Clark,79,73285,Software Developer,2020-07-13,Germany,529,97910,15,1947,14959,310480,190802,438277,21069,9675006,23.18,0.073,0.8014,2909,602,25194729,50.0,8.71,14.58,79.37
John Taylor,65,94173,Software Developer,2020-07-14,Italy,504,98390,10,1956,430473,13070,262092,685307,25400,9739836,39.87,0.1962,0.8564,2033,477,1399186597,46.2,5.78,8.94,34.68
Jane Brown,23,8005,Teacher,2020-07-15,UK,503,98914,6,1970,322946,6320,46111,494296,25146,9814803,38.68,0.0707,0.8534,2101,741,761832105,41.4,8.17,3.4,63.63
Laura Taylor,59,58564,Sales Executive,2020-07-16,Russia,479,99404,12,1981,490964,356187,227325,367694,7846,9824133,33.72,0.1514,0.9691,3751,606,239828159,46.1,8.81,8.06,38.36
David Smith,75,52496,Business Analyst,2020-07-17,USA,474,99938,5,1991,134125,306065,50336,183704,41352,9869286,42.88,0.1111,0.9838,72,514,285545285,27.1,15.17,12.21,75.72
Emily Johnson,60,30898,Farmer,2020-07-18,Germany,502,100422,10,2000,395939,11589,17905,170424,24694,9878897,47.02,0.1256,0.8134,3018,92,553124909,40.9,14.0,14.37,72.1
Laura Taylor,27,90074,Business Analyst,2020-07-19,Germany,521,100946,16,2009,37215,360139,31273,305797,22740,9893769,29.42,0.0848,0.8895,794,328,113933766,30.4,19.32,2.49,33.42
Chris Williams,56,22708,Farmer,2020-07-20,India,536,101454,15,2024,65046,20589,126191,218187,50438,9944224,12.64,0.1933,0.9042,651,76,368398684,27.9,6.02,11.57,52.37
Alex Taylor,30,46024,Business Analyst,2020-07-21,Canada,477,101953,10,2034,243265,41375,158306,588043,31996,9980154,20.53,0.1186,0.8177,3085,423,964563809,47.3,14.95,6.25,57.65
Emily Taylor,56,92003,Engineer,2020-07-22,Germany,507,102440,8,2045,366737,48085,210957,642642,64874,10053176,38.16,0.1882,0.8717,1892,462,593751878,41.0,11.65,12.73,47.36
Laura Davis,28,15412,Farmer,2020-07-23,Brazil,504,102970,10,2058,437310,65840,67538,354132,98661,10116890,32.89,0.0114,0.8602,2724,755,1214015884,31.1,17.61,13.31,32.71
Sarah Miller,33,55821,Farmer,2020-07-24,Russia,475,103484,6,2065,179741,179272,105570,472219,60682,10206684,9.71,0.1188,0.9019,4226,207,60118905,34.7,5.87,18.3,52.32
John Johnson,50,30378,Scientist,2020-07-25,Russia,488,103975,9,2075,177198,103704,164645,494092,45200,10256400,3.51,0.1463,0.9256,2712,268,198543326,49.3,5.7,8.8,85.48
Laura Davis,77,94638,Business Analyst,2020-07-26,Brazil,496,104465,12,2090,351180,364191,263025,337319,23970,10324104,34.47,0.1516,0.9337,532,698,325706348,46.6,13.55,11.21,55.21
Anna Williams,76,79580,Teacher,2020-07-27,Australia,473,104944,18,2100,382008,35982,196392,723098,11895,10325519,13.3,0.1819,0.826,4086,307,1231063948,25.4,21.23,6.1,52.64
Chris Taylor,68,32309,Farmer,2020-07-28,Brazil,512,105414,5,2109,130333,326864,129993,335596,39071,10402960,25.48,0.0108,0.9545,2689,289,273830928,49.5,18.42,6.44,95.92
Jane Clark,32,84775,Sales Executive,2020-07-29,Brazil,510,105912,7,2118,26772,295658,274474,219395,53268,10474739,37.59,0.0101,0.9289,3361,309,379355911,34.2,5.33,1.87,32.91
Emily Jones,60,3435,Engineer,2020-07-30,Russia,515,106416,16,2128,451802,200961,224112,328293,23258,10557808,28.57,0.0997,0.9689,4178,138,1184661256,42.4,8.57,6.44,83.71
Anna Garcia,44,89700,Police Officer,2020-07-31,France,473,106926,8,2139,61943,81034,212588,264965,89890,10651364,5.08,0.0156,0.8854,4425,507,760209639,42.8,9.53,2.21,63.82
Chris Smith,73,4386,Teacher,2020-08-01,Russia,504,107447,11,2150,341012,365532,173425,540724,97177,10740808,10.09,0.1952,0.9698,3875,892,392145711,47.8,13.46,19.31,96.11
Alex Miller,77,71976,Business Analyst,2020-08-02,Canada,499,107960,11,2168,321999,49845,148083,546443,58300,10813243,11.75,0.0522,0.9645,2249,447,1015740851,47.1,16.73,12.86,57.54
Michael Davis,87,46503,Software Developer,2020-08-03,India,490,108461,6,2173,163290,259259,84537,420235,62915,10824131,13.64,0.0998,0.8833,1732,701,1043911933,32.0,9.33,4.29,79.56
David Brown,64,72972,Business Analyst,2020-08-04,Italy,546,108993,2,2183,111124,377997,61985,598800,9444,10870430,28.7,0.0216,0.8724,4846,301,809970822,41.1,12.65,3.22,34.9
Michael Garcia,25,73939,Scientist,2020-08-05,France,502,109494,12,2194,484224,113417,18044,474906,76147,10930195,25.69,0.1092,0.9772,3658,216,17407184,34.8,16.68,8.03,95.01
Anna Brown,80,89778,Teacher,2020-08-06,USA,462,109995,8,2198,329349,118436,123304,670329,77064,10993909,10.95,0.0822,0.9359,1068,303,1364785701,38.1,12.67,6.85,54.12
Sarah Davis,24,44464,Engineer,2020-08-07,Italy,491,110489,13,2208,146031,243198,137322,308334,67535,11010844,4.31,0.0185,0.9764,4810,949,43424196,38.9,7.86,6.31,66.68
Anna Miller,19,69475,Scientist,2020-08-08,India,513,111031,7,2218,224051,288303,259116,519127,4760,11084846,9.4,0.0737,0.9514,3020,859,596757415,34.9,14.83,9.9,39.69
Emily Clark,34,83758,Doctor,2020-08-09,Canada,551,111516,8,2224,448350,94788,286433,293072,37884,11166477,49.23,0.0844,0.9158,1361,992,575543225,36.6,11.48,18.34,96.19
John Taylor,21,28277,Engineer,2020-08-10,Canada,533,112043,10,2233,35874,29003,34087,330569,88477,11244206,23.96,0.1981,0.822,1468,696,328743872,30.2,22.28,11.79,77.11
Jane Davis,43,87679,Farmer,2020-08-11,USA,507,112570,12,2242,141007,110722,76952,618422,27022,11246526,43.5,0.0495,0.8554,2550,38,433196829,40.2,20.51,10.9,33.78
Anna Smith,89,55012,Doctor,2020-08-12,France,487,113064,13,2250,11301,302283,222767,654163,55504,11293558,42.59,0.1135,0.9841,2717,188,32776418,44.0,8.81,16.32,40.86
Laura Johnson,86,4138,Software Developer,2020-08-13,Australia,549,113571,6,2260,330161,241444,37368,237189,44130,11372321,26.06,0.1976,0.8607,1436,50,621730732,35.7,8.05,1.08,57.99
Laura Jones,22,50327,Scientist,2020-08-14,Brazil,520,114075,7,2273,53319,319596,121648,668552,44881,11391228,35.63,0.1605,0.8177,1194,479,1295126319,49.4,11.95,4.75,45.17
Laura Smith,22,87525,Engineer,2020-08-15,France,499,114595,13,2281,230688,27205,91693,200046,63399,11430230,10.44,0.1987,0.9344,2113,201,462433335,26.4,13.24,10.43,51.32
Anna Brown,86,69698,Nurse,2020-08-16,Australia,503,115084,14,2290,227291,232131,59900,392335,37451,11476068,34.73,0.194,0.9395,4884,353,1230923741,39.7,23.64,14.4,99.82
Michael Smith,20,3752,Nurse,2020-08-17,Canada,520,115589,11,2305,498408,61955,278638,199815,52413,11515980,14.35,0.103,0.8542,1596,758,821532710,39.6,11.03,10.22,76.11
Jane Davis,55,26765,Police Officer,2020-08-18,Russia,443,116072,11,2315,294599,246235,177238,492671,93057,11517532,41.77,0.1423,0.8566,2195,825,645947470,25.9,22.35,4.11,94.56
Emily Miller,18,1837,Doctor,2020-08-19,India,496,116573,11,2326,145184,274608,223182,221107,63278,11538672,5.1,0.031,0.8891,2213,982,700960567,30.6,15.11,18.67,60.51
David Brown,25,95010,Sales Executive,2020-08-20,USA,506,117090,7,2337,329177,218718,157405,600609,30639,11625263,38.88,0.0938,0.8041,3062,746,858481697,47.6,22.71,7.24,79.72
Chris Jones,30,78579,Teacher,2020-08-21,India,499,117596,14,2349,199432,208729,296194,395926,35621,11675000,5.9,0.1637,0.95,4494,635,147969911,38.6,19.04,15.98,62.18
Alex Taylor,87,57997,Business Analyst,2020-08-22,UK,489,118088,7,2360,485634,276984,98799,129398,97985,11709367,44.18,0.106,0.8602,4377,287,358858747,35.9,19.17,17.94,52.98
John Williams,67,36501,Farmer,2020-08-23,UK,517,118572,15,2364,435361,307912,132016,341117,14079,11791001,15.91,0.1435,0.9622,3232,364,1228297050,35.4,15.38,7.58,66.34
David Davis,25,45770,Software Developer,2020-08-24,France,496,119051,4,2377,379068,288071,230147,596702,7895,11816062,33.07,0.1517,0.9525,3473,538,763076161,47.2,21.81,17.06,59.91
John Taylor,47,90608,Nurse,2020-08-25,Canada,475,119598,5,2389,42735,365766,89257,438818,94515,11913652,24.89,0.0582,0.9257,4051,95,923470473,34.2,10.09,14.5,98.64
John Jones,57,69189,Sales Executive,2020-08-26,Canada,510,120138,5,2405,344925,20329,49070,268749,53142,11994988,18.95,0.1764,0.8617,3609,910,389279044,46.5,23.15,18.18,64.73
Sarah Garcia,50,89060,Sales Executive,2020-08-27,Brazil,503,120644,8,2416,251207,20791,268310,311836,13552,12038112,32.63,0.0974,0.8981,1606,326,132176794,32.7,17.74,5.77,86.78
Alex Johnson,69,61594,Doctor,2020-08-28,Brazil,462,121163,13,2423,398175,319771,146749,388102,93930,12084750,47.43,0.0499,0.8845,2736,866,392883075,38.3,13.77,18.69,76.68
David Smith,50,86269,Police Officer,2020-08-29,Brazil,480,121670,9,2432,138305,396029,188633,330894,49821,12176865,3.02,0.1744,0.8644,2382,911,331827148,28.6,24.64,2.24,63.57
Michael Johnson,54,38448,Farmer,2020-08-30,Russia,479,122171,8,2445,208713,150444,38664,434976,98812,12179847,46.02,0.0894,0.9611,1706,702,783940496,45.6,22.24,16.08,63.19
Alex Williams,87,85306,Sales Executive,2020-08-31,Italy,495,122714,5,2455,118049,184541,264437,350600,34630,12216612,30.85,0.1526,0.8919,594,346,1142943574,43.4,20.44,9.28,53.93
Alex Brown,86,38959,Software Developer,2020-09-01,Germany,508,123228,14,2461,424927,376698,76276,305069,71063,12300218,40.56,0.1141,0.9582,441,872,1382211488,38.3,10.48,4.38,37.49
Alex Garcia,21,50525,Doctor,2020-09-02,Italy,518,123739,4,2469,277774,135436,275703,534004,13247,12397640,19.81,0.0826,0.82,2038,154,988278257,25.6,24.47,2.51,83.3
Anna Miller,77,79340,Scientist,2020-09-03,India,503,124220,10,2477,75488,92073,66231,392908,18603,12453321,24.12,0.1639,0.8268,4135,324,1249552398,37.0,19.86,8.4,94.27
Jane Clark,48,82746,Software Developer,2020-09-04,Italy,506,124718,9,2489,144278,254894,109277,481535,46564,12517553,43.57,0.121,0.9857,346,234,1018819597,30.6,17.1,8.4,45.26
Michael Smith,31,35029,Business Analyst,2020-09-05,Russia,493,125188,11,2500,328433,301514,171116,553893,1527,12580902,21.33,0.0842,0.9117,1136,432,1387672925,35.3,23.44,5.37,94.8
Alex Jones,77,74169,Police Officer,2020-09-06,India,506,125673,8,2512,291097,56408,284891,410932,57521,12645376,27.2,0.0308,0.8969,4415,63,725263644,46.4,8.24,5.09,46.26
Chris Davis,85,9312,Farmer,2020-09-07,Italy,485,126194,8,2519,373076,358085,238528,39192,69458,12675889,1.99,0.1801,0.8994,3311,903,379621334,44.2,7.78,8.59,67.11
Anna Brown,43,39300,Police Officer,2020-09-08,Russia,492,126674,10,2533,151140,151306,263181,248464,6849,12699481,8.77,0.0167,0.8409,4655,953,276701921,31.0,16.27,8.79,54.05
Chris Williams,41,55994,Police Officer,2020-09-09,Germany,525,127172,16,2540,268946,143604,98847,332093,96836,12724099,32.44,0.174,0.9366,1166,942,250765366,49.6,6.13,9.4,38.02
Chris Garcia,73,86765,Doctor,2020-09-10,Italy,519,127709,11,2552,88930,302560,104742,88382,94316,12776731,36.13,0.0784,0.8161,1126,825,1259932671,47.6,18.28,17.51,33.7
Sarah Brown,26,3884,Police Officer,2020-09-11,Russia,506,128248,13,2564,196988,77439,254437,643521,51314,12793140,29.55,0.1315,0.9089,545,77,352221190,38.2,9.81,12.61,55.57
Michael Garcia,52,21522,Teacher,2020-09-12,Brazil,492,128755,13,2577,273211,23242,49503,450802,46724,12803669,8.02,0.1852,0.9084,3045,628,990716340,38.3,7.38,1.39,33.31
Anna Garcia,41,6623,Software Developer,2020-09-13,Canada,494,129207,9,2584,322802,186326,291351,72243,94676,12828823,22.82,0.0388,0.9737,143,343,854046257,47.5,13.19,10.86,37.29
David Brown,48,12460,Farmer,2020-09-14,Brazil,496,129717,8,2588,62165,346468,296385,382710,18230,12862705,18.4,0.1177,0.9,4770,86,511402691,40.9,14.32,15.49,39.96
Alex Johnson,83,11234,Software Developer,2020-09-15,Canada,494,130221,8,2595,352925,302393,146906,340762,93229,12908622,25.29,0.1552,0.826,4374,548,1168156442,38.4,8.41,2.07,30.13
John Johnson,83,85039,Scientist,2020-09-16,USA,505,130712,8,2605,150931,367268,260966,158621,73495,12992110,43.65,0.1539,0.9088,770,865,65119455,43.7,5.83,9.03,40.73
Jane Garcia,58,64578,Police Officer,2020-09-17,USA,465,131229,7,2615,39164,362193,159262,72494,43730,13008811,39.02,0.1099,0.8174,4412,164,275039288,30.9,13.28,9.57,70.41
David Taylor,53,90636,Police Officer,2020-09-18,USA,487,131692,8,2623,114946,244647,73832,763333,86203,13085092,5.12,0.1287,0.8387,4426,81,1239867243,47.0,20.19,19.13,87.37
David Brown,51,83410,Business Analyst,2020-09-19,Germany,527,132187,7,2631,221985,352222,284527,306102,92937,13175963,44.63,0.1539,0.8059,4076,510,1176668844,38.3,22.48,10.04,43.54
Emily Jones,56,47905,Police Officer,2020-09-20,Brazil,506,132676,8,2639,399724,299438,243046,240851,4323,13245188,24.12,0.1698,0.8975,4105,456,1346545453,40.1,6.95,15.25,35.66
Michael Jones,40,30420,Police Officer,2020-09-21,Canada,493,133182,11,2647,243442,195856,240101,520929,1445,13298680,37.45,0.1547,0.8161,1156,701,1330864996,27.2,15.49,6.76,81.07
Anna Taylor,61,36813,Software Developer,2020-09-22,Russia,482,133660,13,2656,371395,196373,265818,127960,83945,13302668,7.86,0.0773,0.8892,3982,568,951171610,32.7,10.27,15.81,30.57
Chris Jones,87,1382,Software Developer,2020-09-23,India,496,134168,7,2663,30773,146503,23820,122478,10963,13339587,33.87,0.1994,0.9773,3772,763,168738331,35.7,12.49,7.13,81.39
Sarah Garcia,75,39353,Nurse,2020-09-24,Russia,497,134668,9,2673,460511,356771,217112,542419,51511,13389013,12.58,0.0926,0.9368,1421,368,650571906,35.3,23.67,9.17,39.18
Anna Miller,76,10369,Nurse,2020-09-25,India,473,135205,8,2682,43939,95381,44794,450754,16437,13442180,22.48,0.0146,0.8147,472,286,1042830715,44.5,12.04,10.11,45.98
Chris Johnson,43,35985,Software Developer,2020-09-26,UK,506,135702,10,2692,451815,357171,129544,25833,17855,13452193,1.83,0.0789,0.8426,2055,892,621884154,32.1,12.31,18.6,38.4
Emily Clark,39,43255,Farmer,2020-09-27,Russia,483,136205,6,2705,409330,257641,38555,436602,82947,13492306,8.43,0.0343,0.928,4599,322,955116351,29.6,9.19,2.02,47.31
Chris Taylor,57,59261,Sales Executive,2020-09-28,Italy,492,136701,11,2713,370619,191444,187280,268053,11847,13496880,5.51,0.0331,0.97,4652,114,1059690482,39.6,24.2,4.74,85.87
Sarah Johnson,28,90197,Business Analyst,2020-09-29,Italy,491,137186,8,2723,261442,337510,295550,119341,4236,13595896,12.75,0.0635,0.8063,4461,980,892868778,40.4,14.13,14.41,39.28
Alex Smith,26,62590,Scientist,2020-09-30,France,520,137674,10,2731,284962,99176,41262,747138,62897,13604734,5.9,0.0201,0.9544,813,104,49772103,28.0,16.41,11.97,99.59
Emily Johnson,29,46486,Sales Executive,2020-10-01,Brazil,497,138177,10,2741,281479,124667,218733,638528,14487,13699633,34.9,0.1408,0.9067,3418,228,150408491,25.1,14.06,5.78,52.9
Jane Johnson,43,48883,Nurse,2020-10-02,India,504,138722,5,2753,327152,340014,213208,438048,78384,13732001,2.42,0.0241,0.9038,947,691,1192308529,47.9,10.06,6.49,94.54
Laura Garcia,55,56318,Police Officer,2020-10-03,India,470,139200,11,2758,81745,52387,293428,228929,63423,13765229,31.27,0.0486,0.982,1002,887,906766952,27.0,21.21,7.98,43.3
Jane Clark,20,52566,Software Developer,2020-10-04,Brazil,450,139682,5,2769,184220,188999,152243,190002,14155,13815940,7.89,0.0277,0.9421,2972,953,349056932,47.4,5.57,9.56,43.15
David Williams,32,1650,Nurse,2020-10-05,Germany,481,140167,12,2774,266445,276448,90023,183479,12255,13863037,47.31,0.022,0.9615,4529,804,1079860532,35.0,18.8,16.54,69.57
Emily Jones,64,41937,Police Officer,2020-10-06,France,464,140664,14,2782,275721,284176,208012,429251,2979,13919810,46.72,0.0609,0.8673,3247,137,1232095920,41.3,16.89,1.26,33.54
David Clark,22,22299,Teacher,2020-10-07,Germany,505,141142,8,2789,83916,96291,165772,26732,22305,13949449,12.05,0.1187,0.9053,4248,209,646807980,29.6,7.89,18.06,86.07
Anna Smith,71,27862,Doctor,2020-10-08,Germany,493,141652,11,2801,145148,380033,42516,337241,75543,13965272,31.11,0.1933,0.9169,949,938,1006517567,45.6,8.32,8.85,60.77
John Johnson,41,97689,Police Officer,2020-10-09,Germany,512,142128,10,2810,436141,64486,278721,23487,36094,13989782,2.37,0.1764,0.8611,4073,341,1284775653,29.5,18.18,5.38,78.94
Anna Jones,28,17312,Sales Executive,2020-10-10,Brazil,505,142597,5,2820,455085,70552,256623,251560,36098,14029115,46.66,0.1764,0.9083,4255,556,383852599,34.7,11.24,10.66,42.22
Chris Taylor,50,11943,Engineer,2020-10-11,Germany,501,143117,6,2831,69314,44244,16015,377105,90566,14034550,26.63,0.0435,0.845,3691,875,264910229,31.0,10.31,13.53,74.97
Alex Davis,74,69734,Police Officer,2020-10-12,Italy,502,143645,10,2842,313349,55697,92104,525410,34770,14073968,3.12,0.0603,0.8272,3593,665,55663245,45.9,6.18,1.85,71.58
Chris Garcia,69,18325,Farmer,2020-10-13,USA,471,144160,7,2855,414311,393175,229356,629395,10734,14132923,17.78,0.0245,0.8711,3691,301,21439917,46.5,20.33,14.6,82.9
Laura Jones,81,75268,Engineer,2020-10-14,UK,545,144651,15,2863,123583,269837,84190,127721,72984,14193430,4.77,0.1579,0.9405,4815,75,197037827,34.3,22.65,15.45,50.82
